"date","run","replicate","location","value","site"
"9/08/2017",2,1,"LBS",861,"NorthShore"
"9/08/2017",2,3,"LBS",753,"NorthShore"
"18/08/2017",1,1,"LBS",13,"NorthShore"
"18/08/2017",1,2,"LBS",21,"NorthShore"
"18/08/2017",1,3,"LBS",36,"NorthShore"
"18/08/2017",2,1,"LBS",42,"NorthShore"
"18/08/2017",2,2,"LBS",37,"NorthShore"
"18/08/2017",2,3,"LBS",25,"NorthShore"
"18/08/2017",3,1,"LBS",54,"NorthShore"
"18/08/2017",3,2,"LBS",80,"NorthShore"
"18/08/2017",3,3,"LBS",48,"NorthShore"
"28/08/2017",1,1,"LBS",89,"NorthShore"
"28/08/2017",1,2,"LBS",281,"NorthShore"
"28/08/2017",1,3,"LBS",200,"NorthShore"
"28/08/2017",2,1,"LBS",57,"NorthShore"
"28/08/2017",2,2,"LBS",66,"NorthShore"
"28/08/2017",2,3,"LBS",25,"NorthShore"
"28/08/2017",3,1,"LBS",24,"NorthShore"
"28/08/2017",3,2,"LBS",12,"NorthShore"
"28/08/2017",3,3,"LBS",13,"NorthShore"
"14/09/2017",1,1,"LBS",14,"NorthShore"
"14/09/2017",1,2,"LBS",16,"NorthShore"
"14/09/2017",1,3,"LBS",13,"NorthShore"
"14/09/2017",2,1,"LBS",10,"NorthShore"
"14/09/2017",2,2,"LBS",17,"NorthShore"
"14/09/2017",2,3,"LBS",12,"NorthShore"
"14/09/2017",3,1,"LBS",15,"NorthShore"
"14/09/2017",3,2,"LBS",11,"NorthShore"
"14/09/2017",3,3,"LBS",12,"NorthShore"
"18/09/2017",1,1,"LBS",32,"NorthShore"
"18/09/2017",1,2,"LBS",37,"NorthShore"
"18/09/2017",1,3,"LBS",23,"NorthShore"
"18/09/2017",2,1,"LBS",12,"NorthShore"
"18/09/2017",2,2,"LBS",12,"NorthShore"
"18/09/2017",2,3,"LBS",15,"NorthShore"
"18/09/2017",3,1,"LBS",15,"NorthShore"
"18/09/2017",3,2,"LBS",11,"NorthShore"
"18/09/2017",3,3,"LBS",11,"NorthShore"
"27/09/2017",1,1,"LBS",608,"NorthShore"
"27/09/2017",1,2,"LBS",712,"NorthShore"
"27/09/2017",1,3,"LBS",814,"NorthShore"
"27/09/2017",2,1,"LBS",77,"NorthShore"
"27/09/2017",2,2,"LBS",80,"NorthShore"
"27/09/2017",2,3,"LBS",65,"NorthShore"
"27/09/2017",3,1,"LBS",163,"NorthShore"
"27/09/2017",3,2,"LBS",148,"NorthShore"
"27/09/2017",3,3,"LBS",222,"NorthShore"
